SiteCode,S0 SURVEY,S1 SURVEY,S2 SURVEY,S3 SURVEY,S4 SURVEY,S5 SURVEY,S6 SURVEY,S7 SURVEY,S8 SURVEY,,DEFAULT TRANSECT AREA - sqm,"CONFIRMATIONS, COMMENTS & HISTORY",
BBY-BCH-T1,114,76.5,174,162,141.6,90.9,105.6,108,,,BCH - Variable,VARIABLE,"TRANSECT AREA - sqm 
TRANSECT AREAS Confirmed 15/8/2025 using all raw survey data, QAQCed and logic checked"
BBY-BCH-T2,121.8,69,166.2,144,162,91.8,100.8,114,,,BCH - Variable,,
BBY-BCH-T3,121.2,76.8,163.8,157.8,177.6,93.15,101.4,103.2,,,BCH - Variable,,
BBY-BCH-T4,123,69.9,149.4,150,152.4,127.2,105.6,92.4,,,BCH - Variable,,
BBY-BCH-T5,127.2,65.1,138.6,152.4,156,115.2,111.6,81,,,BCH - Variable,,
BBY-IND-T1,654,660,660,660,655.5,660,660,660,,,660,,
BBY-IND-T2,469,475,475,475,475,475,475,475,,,475,,
BBY-IND-T3,718,750,741,750,735,738,726,696,,,750,,
BBY-RES-T1,1300,1300,1300,1300,1287,1274,1300,1250,,,1300,,
BBY-RES-T2,670,670,670,670,670,667.5,666.25,670,,,670,,
BBY-RES-T3,500,500,500,500,490,495,488,493,,,500,,
BBY-RES-T4,665,665,665,665,665,665,665,665,,,665,,
BBY-RES-T5,470,470,470,470,462,460,470,470,,,470,,
BBY-RES-T6,725,725,725,725,702.5,725,725,725,,,725,,
BBY-RET-T1,480,480,480,480,480,480,480,480,,,480,,
BBY-RET-T2,520,520,520,520,520,520,520,520,,,520,,
BBY-RET-T3,455,455,455,455,455,455,454,455,,,455,,
BBY-RPK-T1,60,75,75,75,75,75,75,75,,,75,S0 area surveyed confirmed at 60 sqm,
BBY-RPK-T2,60,75,75,75,75,75,75,75,,,75,S0 area surveyed confirmed at 60 sqm,
BBY-RPK-T3,60,75,75,75,75,75,75,75,,,75,S0 area surveyed confirmed at 60 sqm,
BBY-RPK-T4,60,75,75,75,75,75,75,75,,,75,S0 area surveyed confirmed at 60 sqm,
BBY-RPK-T5,60,75,75,75,75,75,75,75,,,75,S0 area surveyed confirmed at 60 sqm,
CCT-BCH-T1,,211.2,135,158.4,158.4,174,126,156,,,BCH - Variable,,
CCT-BCH-T2,,171.6,156,117.6,174,148.8,120,144,,,BCH - Variable,,
CCT-BCH-T3,,91.8,87.6,87.6,96,96,74.4,78,,,BCH - Variable,,
CCT-BCH-T4,,75.6,79.2,75.6,90,88.8,90,78,,,BCH - Variable,,
CCT-BCH-T5,,68.4,90.6,80.4,97.8,93,87,81,,,BCH - Variable,,
