PRE-HISTORIC KLIS CATEGORY,Grandparent V#,HISTORIC KLIS CATEGORY,Parent V#,KLIS item name,V#,A#,ALM item name,Parent A#,HISTORIC ALM CATEGORY,Material Composition,EPA DIVISION,Smoking related,CDS,PBs,Refine Classification,Takeaway related,Snacks related,Plastic Plan related
,,,,PL Cigarette Butts,17,1,PL Cigarette Butts,,,Plastics,"Smoking, vaping and packaging",Cigarette related,Non,,Plastic Refined,,,
,,,,PL Cigarette Lighters,18,17,PL Cigarette Lighters,,,Plastics,"Smoking, vaping and packaging",Cigarette related,Non,,Plastic Refined,,,
,,,,PL Tobacco Pouches,246,44,PL Tobacco Pouches,,,Plastics,"Smoking, vaping and packaging",Cigarette related,Non,,Plastic Refined,,,
,,,,PL Cigarette Packet Cellophane,247,18,PL Cigarette Packet Cellophane,,,Plastics,"Smoking, vaping and packaging",Cigarette related,Non,,Plastic Refined,,,
,,,NEW @ S?,PL SU Vapes,271,46,PL SU Vapes,,,Plastics,"Smoking, vaping and packaging",Vape related,Non,,Plastic Refined,,,
,,,NEW @ S?,PL Vape Packaging,272,241,PL Vape Packaging,,,Plastics,"Smoking, vaping and packaging",Vape related,Non,,Plastic Refined,,,
,,,,PL Lollipop Sticks,19,29,PL Lollipop Sticks,,,Plastics,Snacks/Confect.,,Non,,Plastic Refined,,Snacks/Confect.,Future
,,,,PL Confect. & Snack Packaging,63,24,PL Confect. & Snack Packaging,,,Plastics,Snacks/Confect.,,Non,,Plastic Refined,,Snacks/Confect.,
,,,,PL Cable Ties,113,16,PL Cable Ties,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Tape,130,43,PL Tape,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Cotton Buds,144,19,PL Cotton Buds,,,Plastics,"Personal effects, care and hygiene",,Non,,Plastic Refined,,,Ban 2
,,,,PL Strapping Band Remnants,67,38,PL Strapping Bands & Remnants,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Strapping Bands (whole),68,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,"H PL Toys, Balloon String, Party items",26,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Future Partial (balloon clips/ties/sticks)
,,,,"PL Toys, Balloon String, Party items",2601,45,"PL Toys, Balloon String, Party items",,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Future Partial (balloon clips/ties/sticks)
,,,NEW @ S?,PL Balloons,283,22201,PL Balloons,222,OT Balloons,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Future (ban on release)
,,,NEW @ S?,PL Event Bracelets,322,4702,PL Event Bracelets,47,PL Other,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL SU Cups,21,20,PL SU Cups,,,Plastics,Takeaway,,Non,,Plastic Refined,Takeaway,,Future
,,,,PL SU Plates & Bowls,22,33,PL SU Plates & Bowls,,,Plastics,Takeaway,,Non,,Plastic Refined,Takeaway,,Ban 2
,,PL Spoons & Cutlery,23,PL Spoons & Cutlery,23,22,PL Spoons & Cutlery,,,Plastics,Takeaway,,Non,,Plastic Refined,Takeaway,,Ban 2
,,,,PL Stirrers,276,39,PL Stirrers,,,Plastics,Takeaway,,Non,,Plastic Refined,Takeaway,,Ban 2
,,,,PL Straws,24,40,PL Straws,,,Plastics,Takeaway,,Non,,Plastic Refined,Takeaway,,Ban 2
,,,NEW @ S?,PL Reusable Cups,291,21,PL Reusable Cups,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Substitute
,,,NEW @ S?,PL Reusable Plates & Bowls,293,34,PL Reusable Plates & Bowls,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Substitute
,,,,PL Non-Food Bottles,37,30,PL Non-Food Bottles,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Pens & Stationary,20,4736,PL Pens & Stationary,47,PL Other,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Tooth & Hairbrushes,25,4701,PL Tooth & Hairbrushes,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Pegs/Household Items,27,4703,PL Pegs/Household Items,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Ceremonial & Artif. plants,28,4704,PL Ceremonial & Artif. Plants,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Drug Items,30,4706,PL Drug Items,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL First Aid Items,35,4711,PL First Aid Items,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Bleach & Cleaner Bottles,36,4712,PL Bleach & Cleaner Bottles,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Personal Care Bottles,38,4713,PL Personal Care Bottles,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,H PL Gardening,32,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Other Gardening Items,270,4708,PL Other Gardening Items,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Whipper Snipper cord,269,244,PL Whipper Snipper cord,,,Other,Miscellaneous other material ,,Non,,Plastic Refined,,,
,,,,PL Drink Pouches (all sizes),40,48,PL Drink Pouches (<150mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,49,PL Drink Pouches (150-499mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,50,PL Drink Pouches (500-999mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,51,PL Drink Pouches (1000- 3000ml),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,52,PL Drink Pouches (>3000mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,PL Flavoured Milk Bottles (<1L),41,53,PL Flavoured Milk Bottles (<150mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,54,PL Flavoured Milk Bottles (150-499mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,55,PL Flavoured Milk Bottles (500-999mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,PL Flavoured Milk Bottles (1L+),42,56,PL Flavoured Milk Bottles (1000- 3000ml),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,57,PL Flavoured Milk Bottles (>3000mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,PL FW/FJD/SpD Non-carb. Beverage Bottles (<1L),43,257,PL FW/FJD/SpD Non-carb. Beverage Bottles (<150mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,258,PL FW/FJD/SpD Non-carb. Beverage Bottles (150-499mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,259,PL FW/FJD/SpD Non-carb. Beverage Bottles (500-999mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
