Parent V#,HISTORIC KLIS CATEGORY,Child V#,KLIS item name,PRange,CRange
26,"PL Toys, Balloon String, Party items",2601,"PL Other Toys, Balloon String, Party items",31,32
26,"PL Toys, Balloon String, Party items",283,PL Balloons,31,32
26,"PL Toys, Balloon String, Party items",322,PL Event Bracelets,31,32
32,PL Gardening,270,PL Other Gardening Items,19,20
32,PL Gardening,269,PL Whipper Snipper cord,19,20
70,PL Wrap (non-food),275,PL Fruit/Food Stickers,31,32
70,PL Wrap (non-food),7001,PL Wrap (non-food) & Stickers,31,32
70,PL Wrap (non-food),281,PL Beverage Bottle Labels,31,32
118,PL OH&S,262,PL SU Face Masks,16,17
118,PL OH&S,263,PL Gloves,16,17
118,PL OH&S,264,PL Other OH&S Items,16,17
153,OT Food Scraps,15301,OT Food Scraps (not gum),31,32
153,OT Food Scraps,15302,OT Chewing Gum,31,32
147,OT Sanitary,265,OT Reusable Face Masks,19,20
147,OT Sanitary,266,OT Antibacterial Wipes,19,20
147,OT Sanitary,267,OT Other Sanitary Items,19,20
161,GC Spirit & Wine Bottles,306,GC Wine Bottles (all sizes),31,32
161,GC Spirit & Wine Bottles,307,GC Spirit Bottles (all sizes),31,32
184,CL Cloth & Clothing,308,CL Clothing Items,31,32
184,CL Cloth & Clothing,309,CL Fragments (all sizes),31,32
184,CL Cloth & Clothing,311,CL Other Items,31,32
222,PC Cigarette Packets,330,PC Cigarette Packets (with film),31,32
222,PC Cigarette Packets,331,PC Cigarette Packets (no film),31,32
